,seed,school,site,year,id
0,1,Duke,"Columbia, SC",2019,20190
1,1,Gonzaga,"Salt Lake City, UT",2019,20191
2,1,UNC,"Columbus, OH",2019,20192
3,1,Virginia,"Columbia, SC",2019,20193
4,2,Michigan State,"Des Moines, IA",2019,20194
5,2,Michigan,"Des Moines, IA",2019,20195
6,2,Kentucky,"Jacksonville, FL",2019,20196
7,2,Tennessee,"Columbus, OH",2019,20197
8,3,LSU,"Jacksonville, FL",2019,20198
9,3,Texas Tech,"Tulsa, OK",2019,20199
10,3,Houston,"Tulsa, OK",2019,201910
11,3,Purdue,"Hartford, CT",2019,201911
12,4,Virginia Tech,"San Jose, CA",2019,201912
13,4,Florida State,"Hartford, CT",2019,201913
14,4,Kansas,"Salt Lake City, UT",2019,201914
15,4,Kansas State,"San Jose, CA",2019,201915
16,1,Villanova,"Pittsburgh, PA",2018,201816
17,1,Kansas,"Wichita, KS",2018,201817
18,1,Xavier,"Nashville, TN",2018,201818
19,1,Virginia,"Charlotte, NC",2018,201819
20,2,Purdue,"Detroit, MI",2018,201820
21,2,Duke,"Pittsburgh, PA",2018,201821
22,2,UNC,"Charlotte, NC",2018,201822
23,2,Cincinnati,"Nashville, TN",2018,201823
24,3,Texas Tech,"Dallas, TX",2018,201824
25,3,Michigan State,"Detroit, MI",2018,201825
26,3,Michigan,"Wichita, KS",2018,201826
27,3,Tennessee,"Dallas, TX",2018,201827
28,4,Wichita State,"San Diego, CA",2018,201828
29,4,Auburn,"San Diego, CA",2018,201829
30,4,Gonzaga,"Boise, ID",2018,201830
31,4,Arizona,"Boise, ID",2018,201831
32,1,Villanova,"Buffalo, NY",2017,201732
33,1,Kansas,"Tulsa, OK",2017,201733
34,1,UNC,"Greenville, SC",2017,201734
35,1,Gonzaga,"Salt Lake City, UT",2017,201735
36,2,Duke,"Greenville, SC",2017,201736
37,2,Louisville,"Indianapolis, IN",2017,201737
38,2,Kentucky,"Indianapolis, IN",2017,201738
39,2,Arizona,"Salt Lake City, UT",2017,201739
40,3,Baylor,"Tulsa, OK",2017,201740
41,3,Oregon,"Sacramento, CA",2017,201741
42,3,UCLA,"Sacramento, CA",2017,201742
43,3,Florida State,"Orlando, FL",2017,201743
44,4,Florida,"Orlando, FL",2017,201744
45,4,Purdue,"Milwaukee, WI",2017,201745
46,4,Butler,"Milwaukee, WI",2017,201746
47,4,West Virginia,"Buffalo, NY",2017,201747
48,1,UNC,"Raleigh, NC",2016,201648
49,1,Kansas,"Des Moines, IA",2016,201649
50,1,Oregon,"Spokane, WA",2016,201650
51,1,Virginia,"Raleigh, NC",2016,201651
52,2,Xavier,"St. Louis, MO",2016,201652
53,2,Villanova,"Brooklyn, NY",2016,201653
54,2,Oklahoma,"Oklahoma City, OK",2016,201654
55,2,Michigan State,"St. Louis, MO",2016,201655
56,3,West Virginia,"Brooklyn, NY",2016,201656
57,3,Miami (FL),"Providence, RI",2016,201657
58,3,Texas A&M,"Oklahoma City, OK",2016,201658
59,3,Utah,"Denver, CO",2016,201659
60,4,Kentucky,"Des Moines, IA",2016,201660
61,4,California,"Spokane, WA",2016,201661
62,4,Duke,"Providence, RI",2016,201662
63,4,Iowa State,"Denver, CO",2016,201663
64,1,Villanova,"Pittsburgh, PA",2015,201564
65,1,Kentucky,"Louisville, KY",2015,201565
66,1,Duke,"Charlotte, NC",2015,201566
67,1,Wisconsin,"Omaha, NE",2015,201567
68,2,Virginia,"Charlotte, NC",2015,201568
69,2,Kansas,"Omaha, NE",2015,201569
70,2,Gonzaga,"Seattle, WA",2015,201570
71,2,Arizona,"Portland, OR",2015,201571
72,3,Oklahoma,"Columbus, OH",2015,201572
73,3,Notre Dame,"Pittsburgh, PA",2015,201573
74,3,Iowa State,"Louisville, KY",2015,201574
75,3,Baylor,"Jacksonville, FL",2015,201575
76,4,Louisville,"Seattle, WA",2015,201576
77,4,Maryland,"Columbus, OH",2015,201577
78,4,Georgetown,"Portland, OR",2015,201578
79,4,UNC,"Jacksonville, FL",2015,201579
80,1,Wichita State,"St. Louis, MO",2014,201480
81,1,Florida,"Orlando, FL",2014,201481
82,1,Virginia,"Raleigh, NC",2014,201482
83,1,Arizona,"San Diego, CA",2014,201483
84,2,Michigan,"Milwaukee, WI",2014,201484
85,2,Kansas,"St. Louis, MO",2014,201485
86,2,Villanova,"Buffalo, NY",2014,201486
87,2,Wisconsin,"Milwaukee, WI",2014,201487
88,3,Duke,"Raleigh, NC",2014,201488
89,3,Syracuse,"Buffalo, NY",2014,201489
90,3,Iowa State,"San Antonio, TX",2014,201490
91,3,Creighton,"San Antonio, TX",2014,201491
92,4,Louisville,"Orlando, FL",2014,201492
93,4,UCLA,"San Diego, CA",2014,201493
94,4,Michigan State,"Spokane, WA",2014,201494
95,4,San Diego State,"Spokane, WA",2014,201495
96,1,Indiana,"Dayton, OH",2013,201396
97,1,Louisville,"Lexington, KY",2013,201397
98,1,Gonzaga,"Salt Lake City, UT",2013,201398
99,1,Kansas,"Kansas City, MO",2013,201399
100,2,Miami (FL),"Austin, TX",2013,2013100
101,2,Duke,"Philadelphia, PA",2013,2013101
102,2,Ohio State,"Dayton, OH",2013,2013102
103,2,Georgetown,"Philadelphia, PA",2013,2013103
104,3,Marquette,"Lexington, KY",2013,2013104
105,3,Michigan State,"Auburn Hills, MI",2013,2013105
106,3,New Mexico,"Salt Lake City, UT",2013,2013106
107,3,Florida,"Austin, TX",2013,2013107
108,4,Syracuse,"San Jose, CA",2013,2013108
109,4,Saint Louis,"San Jose, CA",2013,2013109
110,4,Kansas State,"Kansas City, MO",2013,2013110
111,4,Michigan,"Auburn Hills, MI",2013,2013111
112,1,UNC,"Greensboro, NC",2012,2012112
113,1,Kentucky,"Louisville, KY",2012,2012113
114,1,Michigan State,"Columbus, OH",2012,2012114
115,1,Syracuse,"Pittsburgh, PA",2012,2012115
116,2,Kansas,"Omaha, NE",2012,2012116
117,2,Duke,"Greensboro, NC",2012,2012117
